Sequential Trials,,,,Randomized Trials,,,,,Incorrect trials. RT will not be considered,,,,,RT of Sequential Trials,RT of Random Trials
45,1,0.5977702,,246,1,0.5612709,,,,,,,,0.3515554,0.5136257
46,1,0.209081,,247,1,0.4579758,,,,,,,,0.458267,0.3987614
47,1,0.3138188,,248,1,0.4005687,,,,,,,,0.4724131,0.5726451
49,1,0.6297206,,249,1,0.6131362,,,,,,,,0.5471683,0.4442222
50,1,0.5105619,,250,1,0.5179365,,,,,,,,0.4726364,0.6645812
51,1,0.5563283,,251,1,0.5634834,,,,,,,,0.525797,0.4019759
52,1,0.6276964,,252,1,0.451525,,,,,,,,0.6138342,0.8431978
53,1,0.3984423,,253,1,0.5136257,,,,,,,,0.5555008,0.7929702
54,1,0.3515554,,254,1,0.3987614,,,,,,,,0.4687199,0.4581302
55,1,0.458267,,256,1,0.5726451,,,,,,,,0.5085151,0.4922135
57,1,0.4724131,,257,1,0.4442222,,,,,,,,0.3877172,0.4269989
58,1,0.5471683,,258,1,0.6645812,,,,,,,,0.4615698,0.5289873
59,1,0.4726364,,259,1,0.4019759,,,,,,,,0.7670757,0.4685884
60,1,0.525797,,260,1,0.8431978,,,,,,,,0.5672832,0.5246015
61,1,0.6138342,,261,1,0.7929702,,,,,,,,0.5422436,0.5943434
62,1,0.5555008,,262,1,0.4581302,,,,,,,,0.5622649,0.4848944
63,1,0.4687199,,263,1,0.4922135,,,,,,,,0.5701313,0.4778652
64,1,0.5085151,,264,1,0.4269989,,,,,,,,0.6880892,0.4225386
65,1,0.3877172,,265,1,0.5289873,,,,,,,,0.4118763,0.4857968
66,1,0.4615698,,266,1,0.4685884,,,,,,,,0.6804595,0.8904
67,1,0.7670757,,267,1,0.5246015,,,,,,,,0.5794726,0.7653307
68,1,0.5672832,,268,1,0.5943434,,,,,,,,0.6380107,0.4538962
69,1,0.5422436,,269,1,0.4848944,,,,,,,,0.5762671,0.5628712
70,1,0.5622649,,270,1,0.4778652,,,,,,,,0.4153124,0.6692678
71,1,0.5701313,,271,1,0.4225386,,,,,,,,0.4508607,0.4884235
72,1,0.6880892,,272,1,0.4857968,,,,,,,,0.488548,0.5161967
73,1,0.4118763,,273,1,0.8904,,,,,,,,0.4127744,0.8027367
75,1,0.6804595,,275,1,0.7653307,,,,,,,,0.5260992,1.1002155
76,1,0.5794726,,276,1,0.4538962,,,,,,,,0.612898,0.5864482
77,1,0.6380107,,277,1,0.5628712,,,,,,,,0.6325865,0.4233584
78,1,0.5762671,,278,1,0.6692678,,,,,,,,0.3860845,0.4855778
79,1,0.4153124,,279,1,0.4884235,,,,,,,,0.4673212,0.8266405
80,1,0.4508607,,280,1,0.5161967,,,,,,,,0.6112366,0.8962857
81,1,0.488548,,281,1,0.8027367,,,,,,,,0.3355257,0.5284367
82,1,0.4127744,,282,1,1.1002155,,,,,,,,0.5494314,0.4675565
83,1,0.5260992,,283,1,0.5864482,,,,,,,,0.5052986,0.7109658
84,1,0.612898,,284,1,0.4233584,,,,,,,,0.5291659,0.4829098
85,1,0.6325865,,285,1,0.4855778,,,,,,,,0.4307327,0.4118259
86,1,0.3860845,,286,1,0.8266405,,,,,,,,0.5586053,0.6420976
87,1,0.4673212,,287,1,0.8962857,,,,,,,,2.0806226,0.5682873
88,1,0.6112366,,288,1,0.5284367,,,,,,,,1.6632825,0.4158315
89,1,0.3355257,,289,1,0.4675565,,,,,,,,0.4030845,0.5325628
90,1,0.5494314,,290,1,0.7109658,,,,,,,,0.8909038,0.4966606
91,1,0.5052986,,291,1,0.4829098,,,,,,,,0.3867653,1.8076363
92,1,0.5291659,,292,1,0.4118259,,,,,,,,0.6193712,0.5022825
93,1,0.4307327,,293,1,0.6420976,,,,,,,,0.4937381,0.4604223
94,1,0.5586053,,294,1,0.5682873,,,,,,,,0.433283,0.4402695
95,1,2.0806226,,296,1,0.4158315,,,,,,,,0.3805325,0.4717671
96,1,1.6632825,,297,1,0.5325628,,,,,,,,0.452748,0.543117
97,1,0.4030845,,298,1,0.4966606,,,,,,,,0.4494278,0.8828255
98,1,0.8909038,,299,1,1.8076363,,,,,,,,0.6746141,0.6840211
99,1,0.3867653,,300,1,0.5022825,,,,,,,,0.7262309,0.4602546
100,1,0.6193712,,301,1,0.4604223,,,,,,,,0.3941672,0.5217434
101,1,0.4937381,,302,1,0.4402695,,,,,,,,0.5701284,0.5013314
102,1,0.433283,,303,1,0.4717671,,,,,,,,0.657777,0.6437808
103,1,0.3805325,,304,1,0.543117,,,,,,,,0.6626972,0.5008866
104,1,0.452748,,305,1,0.8828255,,,,,,,,0.5343316,0.5439924
106,1,0.4494278,,306,1,0.6840211,,,,,,,,0.4795124,0.4450852
107,1,0.6746141,,307,1,0.4602546,,,,,,,,0.4183451,0.4557795
108,1,0.7262309,,308,1,0.5217434,,,,,,,,0.3332424,0.5910098
109,1,0.3941672,,309,1,0.5013314,,,,,,,,0.4409352,0.4829287
110,1,0.5701284,,310,1,0.6437808,,,,,,,,0.4494624,0.4730566
111,1,0.657777,,311,1,0.5008866,,,,,,,,1.0881713,0.5118208
112,1,0.6626972,,312,1,0.5439924,,,,,,,,0.3162096,0.7623259
113,1,0.5343316,,313,1,0.4450852,,,,,,,,0.4830689,0.5185557
114,1,0.4795124,,314,1,0.4557795,,,,,,,,0.6186201,0.5030705
115,1,0.4183451,,315,1,0.5910098,,,,,,,,0.3843964,0.477072
116,1,0.3332424,,316,1,0.4829287,,,,,,,,0.6435725,0.557154
117,1,0.4409352,,317,1,0.4730566,,,,,,,,0.4608667,0.484045
118,1,0.4494624,,318,1,0.5118208,,,,,,,,0.5250088,0.6068651
119,1,1.0881713,,319,1,0.7623259,,,,,,,,0.436433,0.3967003
120,1,0.3162096,,320,1,0.5185557,,,,,,,,0.7764922,0.4212887
121,1,0.4830689,,321,1,0.5030705,,,,,,,,0.5049494,0.6958153
122,1,0.6186201,,322,1,0.477072,,,,,,,,0.3054498,0.5094971
123,1,0.3843964,,323,1,0.557154,,,,,,,,0.3265358,0.5096486
124,1,0.6435725,,324,1,0.484045,,,,,,,,0.4449684,0.5249547
125,1,0.4608667,,325,1,0.6068651,,,,,,,,0.3351704,0.4473481
126,1,0.5250088,,326,1,0.3967003,,,,,,,,0.3422603,0.5708235
127,1,0.436433,,327,1,0.4212887,,,,,,,,0.3404824,0.8478965
128,1,0.7764922,,328,1,0.6958153,,,,,,,,0.280478,0.6950435
129,1,0.5049494,,329,1,0.5094971,,,,,,,,0.3127034,0.5030835
130,1,0.3054498,,330,1,0.5096486,,,,,,,,0.3143742,1.0311441
131,1,0.3265358,,331,1,0.5249547,,,,,,,,0.3223777,0.4583713
132,1,0.4449684,,332,1,0.4473481,,,,,,,,0.2736496,0.3934738
133,1,0.3351704,,334,1,0.5708235,,,,,,,,0.5515677,0.5309764
134,1,0.3422603,,335,1,0.8478965,,,,,,,,0.3828183,0.3953435
135,1,0.3404824,,336,1,0.6950435,,,,,,,,0.5269724,1.5789495
136,1,0.280478,,337,1,0.5030835,,,,,,,,0.2820664,0.7170118
137,1,0.3127034,,338,1,1.0311441,,,,,,,,0.2948799,0.427609
138,1,0.3143742,,339,1,0.4583713,,,,,,,,0.2777066,0.4792393
139,1,0.3223777,,340,1,0.3934738,,,,,,,,0.3895598,0.5117724
140,1,0.2736496,,341,1,0.5309764,,,,,,,,0.0675785,0.7096496
141,1,0.5515677,,342,1,0.3953435,,,,,,,,0.4755725,0.4937745
142,1,0.3828183,,343,1,1.5789495,,,,,,,,0.3039246,0.668124
143,1,0.5269724,,344,1,0.7170118,,,,,,,,0.3638772,0.5443394
144,1,0.2820664,,345,1,0.427609,,,,,,,,0.2834473,0.52189
145,1,0.2948799,,346,1,0.4792393,,,,,,,,0.3150611,0.4501622
146,1,0.2777066,,347,1,0.5117724,,,,,,,,0.5262549,0.3042131
147,1,0.3895598,,348,1,0.7096496,,,,,,,,0.4485964,0.5289856
148,1,0.0675785,,349,1,0.4937745,,,,,,,,0.2441342,0.4926413
149,1,0.4755725,,350,1,0.668124,,,,,,,,0.4477235,0.9472608
150,1,0.3039246,,351,1,0.5443394,,,,,,,,0.3410372,0.5623801
151,1,0.3638772,,352,1,0.52189,,,,,,,,0.3281616,0.4658789
152,1,0.2834473,,353,1,0.4501622,,,,,,,,0.3039704,0.4304654
153,1,0.3150611,,354,1,0.3042131,,,,,,,,0.3925571,0.4182854
154,1,0.5262549,,355,1,0.5289856,,,,,,,,0.3191548,0.5297674
155,1,0.4485964,,356,1,0.4926413,,,,,,,,0.400886,0.5160053
156,1,0.2441342,,357,1,0.9472608,,,,,,,,0.2927514,0.5478818
157,1,0.4477235,,358,1,0.5623801,,,,,,,,0.4214264,0.5390969
158,1,0.3410372,,359,1,0.4658789,,,,,,,,0.3492722,0.5808402
159,1,0.3281616,,360,1,0.4304654,,,,,,,,0.3809679,0.6081845
160,1,0.3039704,,361,1,0.4182854,,,,,,,,0.2632152,0.9620405
161,1,0.3925571,,362,1,0.5297674,,,,,,,,0.3305691,0.6854598
162,1,0.3191548,,363,1,0.5160053,,,,,,,,0.3199574,0.5921116
163,1,0.400886,,364,1,0.5478818,,,,,,,,0.4251069,0.4893873
164,1,0.2927514,,365,1,0.5390969,,,,,,,,0.374865,0.485138
165,1,0.4214264,,366,1,0.5808402,,,,,,,,0.3994317,0.7118066
166,1,0.3492722,,367,1,0.6081845,,,,,,,,0.3822407,0.5674939
167,1,0.3809679,,368,1,0.9620405,,,,,,,,0.318066,0.5932094
168,1,0.2632152,,369,1,0.6854598,,,,,,,,0.2839982,0.4946991
169,1,0.3305691,,370,1,0.5921116,,,,,,,,0.299473,0.6760438
170,1,0.3199574,,371,1,0.4893873,,,,,,,,0.5642735,0.5159796
171,1,0.4251069,,372,1,0.485138,,,,,,,,0.4368006,0.77645
172,1,0.374865,,373,1,0.7118066,,,,,,,,0.5526185,0.6699495
173,1,0.3994317,,374,1,0.5674939,,,,,,,,0.5659878,0.7031017
174,1,0.3822407,,375,1,0.5932094,,,,,,,,0.3617078,0.4593669
175,1,0.318066,,376,1,0.4946991,,,,,,,,0.3198652,0.4332871
176,1,0.2839982,,377,1,0.6760438,,,,,,,,0.3578092,0.4944237
177,1,0.299473,,378,1,0.5159796,,,,,,,,0.3188182,0.525178
178,1,0.5642735,,379,1,0.77645,,,,,,,,0.3958198,0.6194832
179,1,0.4368006,,380,1,0.6699495,,,,,,,,0.5666295,0.5372003
180,1,0.5526185,,381,1,0.7031017,,,,,,,,0.5007643,0.6395629
181,1,0.5659878,,382,1,0.4593669,,,,,,,,0.4587009,0.4772095
182,1,0.3617078,,383,1,0.4332871,,,,,,,,0.4587807,0.4472476
183,1,0.3198652,,384,1,0.4944237,,,,,,,,0.4905924,0.5875161
184,1,0.3578092,,385,1,0.525178,,,,,,,,0.3674783,0.549145
186,1,0.3188182,,386,1,0.6194832,,,,,,,,0.456717,0.5325567
187,1,0.3958198,,387,1,0.5372003,,,,,,,,0.3385149,0.8627913
188,1,0.5666295,,388,1,0.6395629,,,,,,,,0.4947504,0.663314
189,1,0.5007643,,389,1,0.4772095,,,,,,,,0.3919153,0.7286855
190,1,0.4587009,,390,1,0.4472476,,,,,,,,0.5625873,0.6567833
191,1,0.4587807,,391,1,0.5875161,,,,,,,,,0.9475746
193,1,0.4905924,,392,1,0.549145,,,,,,,,,
194,1,0.3674783,,393,1,0.5325567,,,,,,,,,
195,1,0.456717,,394,1,0.8627913,,,,,,,,,
196,1,0.3385149,,395,1,0.663314,,,,,,,,,
197,1,0.4947504,,396,1,0.7286855,,,,,,,,,
198,1,0.3919153,,397,1,0.6567833,,,,,,,,,
199,1,0.5625873,,398,1,0.9475746,,,,,,,,,
